2019/01,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
3,항거:유관순 이야기,2019-02-27,"8,008,949,571",6.30%,"9,236,565,601","963,678","1,148,654","1,094","39,992",,3,지푸라기라도 잡고 싶은 짐승들,2020-02-19,"1,169,920,910",7.70%,"5,383,062,390","132,928","620,398",646,"23,976"
4,어스,2019-03-27,"7,899,543,905",6.20%,"7,899,543,905","936,427","936,427","1,132","25,435",,4,다크 워터스,2020-03-11,"1,054,870,840",7.00%,"1,060,132,840","122,229","122,880",575,"20,265"
5,사바하,2019-02-20,"6,342,880,401",5.00%,"20,002,441,894","720,218","2,397,601",955,"31,266",,5,정직한 후보,2020-02-12,"798,583,550",5.30%,"12,804,875,990","104,643","1,531,010",537,"18,106"
6,증인,2019-02-13,"5,255,004,170",4.20%,"20,469,999,031","617,129","2,532,874",974,"32,127",,6,작은 아씨들,2020-02-12,"767,500,240",5.10%,"7,208,163,610","89,750","855,201",456,"14,451"
7,이스케이프 룸,2019-03-14,"4,998,476,284",3.90%,"4,998,476,284","561,812","561,812",850,"29,072",,7,주디,2020-03-25,"391,349,420",2.60%,"412,810,720","48,923","51,613",479,"8,130"
8,극한직업,2019-01-23,"4,864,499,800",3.80%,"139,625,593,976","561,526","16,261,009",728,"24,283",,8,젠틀맨,2020-02-26,"338,866,070",2.20%,"660,877,510","39,087","80,931",466,"8,375"
9,악질경찰,2019-03-20,"2,195,245,798",1.70%,"2,195,245,798","254,449","254,449",833,"21,783",,9,해리포터와 아즈카반의 죄수,2004-07-16,"302,975,000",2.00%,"11,455,857,500","32,416","1,833,384",45,"2,421"
10,덤보,2019-03-27,"1,716,968,252",1.40%,"1,716,968,252","212,836","212,836",797,"8,836",,10,스타 이즈 본,2018-10-09,"163,084,140",1.10%,"4,427,414,200","32,281","524,138",246,"4,460"
합계,,,"113,350,515,486",89.40%,"278,213,782,046","13,038,663","32,516,250","10,894","457,598",,합계,,,"11,552,064,870",76.30%,"54,662,780,280","1,338,693","6,877,491","4,827.00","183,959"
,,,,,,,,,,,,,,,,,,,,
2019/04,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/04,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,어벤져스: 엔드게임,2019-04-24,"63,195,995,530",55.80%,"63,195,995,530","7,330,965","7,330,965","2,835","89,142",,1,1917,2020-02-19,"951,525,200",12.70%,"7,469,840,660","110,312","825,239",364,"15,703"
2,생일,2019-04-03,"9,690,929,930",8.60%,"9,784,116,930","1,172,860","1,183,271",878,"70,729",,2,라라랜드,2016-12-07,"417,290,260",5.60%,"30,655,876,408","76,145","3,703,053",387,"10,323"
3,돈,2019-03-20,"6,075,214,400",5.40%,"28,869,429,462","719,375","3,389,012","1,082","46,912",,3,엽문4: 더 파이널,2020-04-01,"624,512,300",8.30%,"624,512,300","72,155","72,155",206,"10,234"
4,샤잠!,2019-04-03,"5,730,673,797",5.10%,"5,743,398,797","656,492","657,294","1,148","45,001",,4,주디,2020-03-25,"339,682,940",4.50%,"752,493,660","39,820","91,433",352,"8,892"
5,어스,2019-03-27,"4,683,135,199",4.10%,"12,582,679,104","537,856","1,474,283","1,028","33,073",,5,서치 아웃,2020-04-15,"293,477,940",3.90%,"293,477,940","33,705","33,705",355,"7,592"
6,헬보이,2019-04-10,"2,768,199,171",2.40%,"2,768,199,171","322,074","322,074",726,"26,479",,6,인비저블맨,2020-02-26,"278,503,700",3.70%,"5,009,773,760","31,168","574,177",296,"6,383"
7,뽀로로 극장판 보물섬 대모험,2019-04-25,"2,290,926,600",2.00%,"2,290,926,600","295,338","295,338",736,"6,815",,7,오픈 더 도어,2020-04-08,"279,798,900",3.70%,"279,798,900","30,982","30,982",184,"5,631"
8,미성년,2019-04-11,"2,413,414,360",2.10%,"2,413,414,360","283,312","283,312",673,"26,708",,8,건즈 아킴보,2020-04-15,"243,963,000",3.20%,"243,963,000","27,842","27,842",181,"4,376"
9,장난스런 키스,2019-03-27,"2,101,191,292",1.90%,"3,475,196,960","252,421","425,360",503,"14,274",,9,트롤: 월드 투어,2020-04-29,"190,424,060",2.50%,"190,424,060","26,232","26,232",228,"1,237"
10,캡틴 마블,2019-03-06,"2,098,414,500",1.90%,"51,373,146,743","246,081","5,787,032",562,"14,245",,10,n번째 이별 중,2020-04-01,"224,523,800",3.00%,"225,227,800","24,826","24,890",171,"5,430"
합계,,,"101,048,094,779",89.30%,"182,496,503,657","11,816,774","21,147,941","10,171","373,378",,합계,,,"3,843,702,100",51.10%,"45,745,388,488","473,187","5,409,708","2,724.00","75,801"
,,,,,,,,,,,,,,,,,,,,
2019/05,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/05,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,어벤져스: 엔드게임,2019-04-24,"57,932,904,330",37.50%,"121,128,899,860","6,487,708","13,818,673","2,508","149,649",,1,프리즌 이스케이프,2020-05-06,"1,473,137,400",11.90%,"1,473,137,400","171,325","171,325",547,"21,227"
2,악인전,2019-05-15,"27,425,543,890",17.70%,"27,427,791,890","3,167,747","3,168,028","1,307","88,407",,2,트롤: 월드 투어,2020-04-29,"948,236,420",7.70%,"1,138,660,480","121,988","148,220",344,"13,528"
3,걸캅스,2019-05-09,"13,640,784,414",8.80%,"13,675,656,414","1,606,656","1,610,582",973,"61,985",,3,위대한 쇼맨,2017-12-20,"692,355,200",5.60%,"12,206,272,700","111,446","1,514,465",598,"11,980"
4,알라딘,2019-05-23,"12,805,016,045",8.30%,"12,805,016,045","1,536,234","1,536,234","1,311","38,412",,4,패왕별희 디 오리지널,2017-03-30,"778,005,520",6.30%,"815,827,920","86,688","90,898",409,"10,229"
5,나의 특별한 형제,2019-05-01,"11,782,578,874",7.60%,"12,029,147,374","1,433,777","1,470,120",936,"49,620",,5,레이니 데이 인 뉴욕,2020-05-06,"767,886,540",6.20%,"770,069,040","86,574","86,869",563,"15,663"
6,기생충,2019-05-30,"10,571,543,475",6.80%,"10,571,543,475","1,245,780","1,245,780","1,826","17,110",,6,저 산 너머,2020-04-30,"625,695,960",5.00%,"765,444,420","80,160","102,589",468,"11,943"
7,명탐정 피카츄,2019-05-09,"5,709,927,366",3.70%,"5,709,927,366","684,224","684,224",817,"25,692",,7,나의 청춘은 너의 것,2020-04-29,"563,027,820",4.50%,"713,593,520","64,725","84,290",533,"10,787"
8,뽀로로 극장판 보물섬 대모험,2019-04-25,"3,561,899,540",2.30%,"5,852,826,140","466,328","761,666",797,"13,013",,8,더 플랫폼,2020-05-13,"565,434,000",4.60%,"566,334,000","61,679","61,779",228,"8,549"
9,배심원들,2019-05-15,"2,244,031,790",1.50%,"2,247,707,790","280,248","280,714",784,"19,956",,9,언더워터,2020-05-27,"488,702,980",3.90%,"488,702,980","58,251","58,251",594,"7,289"
10,어린 의뢰인,2019-05-22,"1,516,625,340",1.00%,"1,559,640,340","183,750","188,548",671,"16,344",,10,호텔 레이크,2020-04-29,"461,235,300",3.70%,"592,156,200","53,079","70,011",465,"8,163"
합계,,,"147,190,855,064",95.20%,"213,008,156,694","17,092,452","24,764,569","11,930","480,188",,합계,,,"7,363,717,140",59.40%,"19,530,198,660","895,915","2,388,697","4,749","119,358"
,,,,,,,,,,,,,,,,,,,,
2019/06,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/06,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,기생충,2019-05-30,"71,290,527,710",36.50%,"81,862,071,185","8,332,201","9,577,981","1,948","157,452",,1,#살아있다,2020-06-24,"9,956,085,460",30.40%,"9,956,085,460","1,194,944","1,194,944","1,882","54,921"
2,알라딘,2019-05-23,"57,801,426,294",29.60%,"70,606,442,339","6,735,563","8,271,797","1,409","124,949",,2,결백,2020-06-10,"6,580,293,840",20.10%,"6,581,823,840","742,746","742,916","1,112","57,398"
3,토이 스토리 4,2019-06-20,"19,256,145,350",9.90%,"19,256,145,350","2,251,096","2,251,096","1,336","51,040",,3,침입자,2020-06-04,"4,794,984,080",14.60%,"4,799,281,080","529,826","530,659","1,365","53,292"
4,롱 리브 더 킹: 목포 영웅,2019-06-19,"8,679,242,160",4.40%,"8,689,778,160","1,022,790","1,024,456",965,"34,107",,4,온워드: 단 하루의 기적,2020-06-17,"2,578,561,080",7.90%,"2,579,233,080","296,824","296,920","1,138","32,205"
5,엑스맨: 다크 피닉스,2019-06-05,"7,644,198,640",3.90%,"7,644,198,640","862,203","862,203",991,"29,383",,5,사라진 시간,2020-06-18,"1,639,621,740",5.00%,"1,640,899,740","184,257","184,399",874,"20,396"
6,맨 인 블랙: 인터내셔널,2019-06-12,"7,406,282,720",3.80%,"7,406,282,720","843,703","843,703","1,151","39,916",,6,위대한 쇼맨,2017-12-20,"1,055,978,200",3.20%,"13,262,250,900","171,109","1,685,574",519,"17,479"
7,존 윅 3: 파라벨룸,2019-06-26,"5,789,036,442",3.00%,"5,789,036,442","676,161","676,161",849,"15,167",,7,에어로너츠,2020-06-10,"671,561,240",2.00%,"671,691,240","76,691","76,717",534,"11,371"
8,애나벨 집으로,2019-06-26,"2,439,165,690",1.20%,"2,439,165,690","291,328","291,328",653,"9,095",,8,나의 첫 번째 슈퍼스타,2020-06-10,"465,903,360",1.40%,"466,351,360","52,376","52,440",462,"8,565"
9,고질라: 킹 오브 몬스터,2019-05-29,"1,818,964,903",0.90%,"3,074,785,318","200,066","357,902",610,"7,714",,9,언더워터,2020-05-27,"448,134,820",1.40%,"936,837,800","50,901","109,152",539,"10,962"
10,악인전,2019-05-15,"1,690,522,780",0.90%,"29,118,314,670","194,104","3,362,132",580,"8,845",,10,프리즌 이스케이프,2020-05-06,"374,700,200",1.10%,"1,847,837,600","45,673","216,998",406,"8,060"
합계,,,"183,815,512,689",94.10%,"235,886,220,514","21,409,215","27,518,759","10,492","477,668",,합계,,,"28,565,824,020",87.10%,"42,742,292,100","3,345,347","5,090,719","8,831","274,649"
,,,,,,,,,,,,,,,,,,,,
2019/07,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/07,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,스파이더맨: 파 프롬 홈,2019-07-02,"68,480,972,570",37.20%,"68,489,532,570","7,959,222","7,960,078","2,142","178,354",,1,반도,2020-07-15,"27,960,546,720",59.20%,"27,961,736,720","3,217,761","3,217,931","2,575","161,089"
2,라이온 킹,2019-07-17,"36,536,957,800",19.80%,"36,536,957,800","4,141,562","4,141,562","1,936","107,905",,2,#살아있다,2020-06-24,"5,979,662,060",12.70%,"15,935,747,520","702,431","1,897,375","1,508","81,832"
3,알라딘,2019-05-23,"31,048,388,180",16.90%,"101,654,830,519","3,664,262","11,936,059","1,030","86,044",,3,강철비2: 정상회담,2020-07-29,"3,907,630,360",8.30%,"3,907,630,360","515,077","515,077","2,137","27,722"
4,토이 스토리 4,2019-06-20,"9,347,251,180",5.10%,"28,603,396,530","1,128,553","3,379,649",872,"34,117",,4,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,"1,440,370,320",3.00%,"1,459,468,320","169,396","171,570",882,"26,570"
5,나랏말싸미,2019-07-24,"7,429,506,273",4.00%,"7,429,506,273","899,990","899,990","1,211","36,588",,5,결백,2020-06-10,"1,059,587,000",2.20%,"7,641,410,840","122,776","865,692",613,"16,904"
6,엑시트,2019-07-31,"3,474,485,190",1.90%,"3,474,485,190","529,215","529,215","1,323","7,015",,6,온워드: 단 하루의 기적,2020-06-17,"915,816,020",1.90%,"3,495,049,100","109,018","405,938",597,"12,662"
7,기생충,2019-05-30,"3,759,704,430",2.00%,"85,621,775,615","476,022","10,054,003",625,"17,072",,7,알라딘,2019-05-23,"672,330,480",1.40%,"107,655,950,839","100,215","12,656,109",549,"11,879"
8,사자,2019-07-31,"2,589,622,540",1.40%,"2,589,622,540","406,113","406,113","1,405","6,274",,8,소리꾼,2020-07-01,"628,229,980",1.30%,"654,798,980","77,774","80,872",573,"13,923"
9,레드슈즈,2019-07-25,"2,810,316,900",1.50%,"2,811,226,900","362,265","362,447",717,"8,702",,9,소년시절의 너,2020-07-09,"458,179,700",1.00%,"465,493,700","53,071","54,290",252,"6,218"
10,기방도령,2019-07-10,"2,303,518,190",1.30%,"2,305,988,190","283,797","284,044",625,"16,585",,10,다크 나이트,2008-08-06,"380,819,140",0.80%,"380,819,140","49,034","49,034",378,"4,429"
합계,,,"167,780,723,253",91.10%,"339,517,322,127","19,851,001","39,953,160","11,886","498,656",,합계,,,"43,403,171,780",91.80%,"169,558,105,519","5,116,553","19,913,888","10,064","363,228"
,,,,,,,,,,,,,,,,,,,,
2019/08,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/08,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,엑시트,2019-07-31,"70,494,628,112",33.70%,"73,969,113,302","8,272,014","8,801,229","1,660","164,170",,1,다만 악에서 구하소서,2020-08-05,"37,721,967,250",48.90%,"37,769,700,250","4,255,708","4,260,842","1,998","177,448"
2,봉오동 전투,2019-08-07,"39,646,596,178",19.00%,"39,720,968,178","4,669,447","4,677,484","1,476","100,115",,2,강철비2: 정상회담,2020-07-29,"10,720,576,350",13.90%,"14,628,206,710","1,265,426","1,780,503","2,133","78,587"
3,분노의 질주: 홉스&쇼,2019-08-14,"29,473,485,983",14.10%,"29,473,485,983","3,333,180","3,333,180","1,311","77,343",,3,오케이 마담,2020-08-12,"10,790,021,200",14.00%,"10,790,021,200","1,205,199","1,205,199","1,288","77,692"
4,변신,2019-08-21,"11,713,672,012",5.60%,"11,713,672,012","1,370,694","1,370,694",975,"36,204",,4,테넷,2020-08-26,"6,496,393,320",8.40%,"6,496,393,320","714,412","714,412","2,228","52,256"
5,사자,2019-07-31,"10,315,969,105",4.90%,"12,905,591,645","1,201,953","1,608,066","1,307","41,389",,5,반도,2020-07-15,"5,098,973,560",6.60%,"33,060,710,280","592,551","3,810,482","1,105","37,776"
6,마이펫의 이중생활 2,2019-07-31,"7,263,117,495",3.50%,"8,459,959,685","926,605","1,108,071",933,"27,782",,6,애니멀 크래커,2020-08-05,"1,023,705,340",1.30%,"1,025,703,340","129,006","129,228",473,"7,447"
7,라이온 킹,2019-07-17,"4,978,974,850",2.40%,"41,515,932,650","601,228","4,742,790",840,"18,568",,7,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020-08-20,"783,086,840",1.00%,"783,086,840","96,235","96,235",661,"9,025"
8,알라딘,2019-05-23,"5,138,704,120",2.50%,"106,793,534,639","598,501","12,534,560",702,"16,462",,8,알라딘,2019-05-23,"504,598,200",0.70%,"108,160,549,039","67,668","12,723,777",284,"3,824"
9,광대들: 풍문조작단,2019-08-21,"4,765,718,908",2.30%,"4,765,718,908","577,859","577,859",806,"24,510",,9,빅샤크3: 젤리몬스터 대소동,2020-07-29,"478,069,820",0.60%,"562,220,660","61,721","72,849",400,"4,285"
10,유열의 음악앨범,2019-08-28,"4,234,203,040",2.00%,"4,234,203,040","539,252","539,252","1,078","18,863",,10,더 프린세스 : 도둑맞은 공주,2020-08-12,"445,053,060",0.60%,"456,826,060","54,517","55,746",423,"4,163"
합계,,,"188,025,069,803",90.00%,"333,552,180,042","22,090,733","39,293,185","11,088","525,406",,합계,,,"74,062,444,940",96.00%,"213,733,417,699","8,442,443","24,849,273","10,993","452,503"
,,,,,,,,,,,,,,,,,,,,
2019/09,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/09,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,나쁜 녀석들: 더 무비,2019-09-11,"38,828,199,614",31.20%,"38,828,199,614","4,480,990","4,480,990","1,511","106,138",,1,테넷,2020-08-26,"9,440,034,190",36.30%,"15,936,427,510","1,020,972","1,735,384","2,018","94,525"
2,타짜: 원 아이드 잭,2019-09-11,"19,591,065,144",15.70%,"19,604,653,144","2,217,573","2,219,141","1,429","65,023",,2,오! 문희,2020-09-02,"2,610,538,660",10.00%,"2,614,514,660","325,574","326,142","1,110","51,398"
3,"힘을 내요, 미스터 리",2019-09-11,"9,806,144,806",7.90%,"9,848,799,806","1,162,399","1,168,283",990,"41,312",,3,뮬란,2020-09-17,"2,011,609,350",7.70%,"2,011,609,350","228,645","228,645","1,420","37,908"
4,장사리 : 잊혀진 영웅들,2019-09-25,"6,031,146,980",4.80%,"6,031,146,980","759,482","759,482","1,090","27,615",,4,국제수사,2020-09-29,"1,343,185,920",5.20%,"1,343,239,920","175,843","175,843","1,074","9,173"
5,유열의 음악앨범,2019-08-28,"5,993,306,500",4.80%,"10,227,509,540","705,455","1,244,707","1,032","40,686",,5,담보,2020-09-29,"1,290,710,760",5.00%,"1,290,710,760","165,849","165,849","1,036","8,497"
6,엑시트,2019-07-31,"5,172,950,860",4.20%,"79,142,064,162","611,213","9,412,442",800,"30,859",,6,검객,2020-09-23,"1,162,122,130",4.50%,"1,162,122,130","136,824","136,824",832,"15,808"
7,그것: 두 번째 이야기,2019-09-04,"5,105,369,387",4.10%,"5,109,914,387","590,772","591,075",999,"25,579",,7,디바,2020-09-23,"834,454,530",3.20%,"834,454,530","99,659","99,659",831,"17,856"
8,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,"4,451,575,710",3.60%,"4,477,759,710","574,600","577,195",889,"20,015",,8,다만 악에서 구하소서,2020-08-05,"815,288,860",3.10%,"38,584,989,110","94,390","4,355,232",656,"16,266"
9,애드 아스트라,2019-09-19,"4,367,725,170",3.50%,"4,367,725,170","495,004","495,004",853,"26,411",,9,브레이크 더 사일런스: 더 무비,2020-09-24,"807,802,000",3.10%,"807,802,000","92,078","92,078",205,"5,909"
10,양자물리학,2019-09-25,"3,583,088,000",2.90%,"3,584,586,000","437,857","438,071",799,"16,623",,10,기기괴괴 성형수,2020-09-09,"791,939,200",3.00%,"793,514,200","89,162","89,337",276,"12,613"
합계,,,"102,930,572,171",82.70%,"181,222,358,513","12,035,345","21,386,390","10,392","400,261",,합계,,,"21,107,685,600",81.10%,"65,379,384,170","2,428,996","7,404,993","9,458","269,953"
,,,,,,,,,,,,,,,,,,,,
2019/10,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/10,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,조커,2019-10-02,"43,876,060,870",35.50%,"43,876,900,870","5,073,796","5,073,876","1,418","138,319",,1,담보,2020-09-29,"12,795,873,520",30.80%,"14,086,584,280","1,477,446","1,643,295","1,342","92,343"
2,가장 보통의 연애,2019-10-02,"24,279,582,190",19.60%,"24,343,068,690","2,844,628","2,851,978","1,073","106,368",,2,삼진그룹 영어토익반,2020-10-21,"6,793,494,880",16.40%,"6,793,494,880","785,395","785,395","1,615","63,416"
3,82년생 김지영,2019-10-23,"14,611,444,950",11.80%,"14,611,444,950","1,816,607","1,816,607","1,486","61,782",,3,소리도 없이,2020-10-15,"3,368,014,150",8.10%,"3,368,896,150","382,389","382,487","1,084","37,567"
4,말레피센트 2,2019-10-17,"10,495,996,730",8.50%,"10,495,996,730","1,240,833","1,240,833","1,108","53,795",,4,국제수사,2020-09-29,"3,138,898,840",7.60%,"4,482,138,760","359,075","534,918","1,074","31,902"
5,퍼펙트맨,2019-10-02,"9,560,443,910",7.70%,"10,267,656,930","1,138,216","1,233,344",894,"47,948",,5,그린랜드,2020-09-29,"2,265,512,630",5.50%,"2,762,958,520","258,780","323,064",779,"22,532"
6,터미네이터: 다크 페이트,2019-10-30,"3,011,115,550",2.40%,"3,011,115,550","429,142","429,142","1,305","10,513",,6,테넷,2020-08-26,"2,134,492,830",5.10%,"18,070,920,340","222,985","1,958,369",573,"15,513"
7,제미니 맨,2019-10-09,"3,284,266,130",2.70%,"3,284,266,130","385,780","385,780",845,"25,970",,7,미스터트롯: 더 무비,2020-10-22,"1,045,657,800",2.50%,"1,045,657,800","120,604","120,604",449,"11,118"
8,장사리 : 잊혀진 영웅들,2019-09-25,"2,913,829,570",2.40%,"8,944,976,550","371,620","1,131,102",997,"20,056",,8,언힌지드,2020-10-07,"1,007,645,720",2.40%,"1,008,527,720","116,531","116,629",676,"19,720"
9,두번할까요,2019-10-17,"1,424,234,620",1.20%,"1,432,230,620","171,665","172,747",658,"16,045",,9,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,"2,352,442,500",5.70%,"3,054,433,000","76,385","99,322",106,"4,138"
10,날씨의 아이,2019-10-30,"971,756,280",0.80%,"971,756,280","131,514","131,514",716,"5,693",,10,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,2020-09-30,"551,695,050",1.30%,"748,680,510","68,752","93,336",554,"6,393"
합계,,,"114,428,730,800",92.60%,"121,239,413,300","13,603,801","14,466,923","10,500","486,489",,합계,,,"35,453,727,920",85.40%,"55,422,291,960","3,868,342","6,057,419","8,252","304,642"
,,,,,,,,,,,,,,,,,,,,
